City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
493,Las Vegas,36.175,-115.1372,54.28,25,1,6.91,US,2021-12-13 00:07:41
494,Kavaratti,10.5669,72.642,81.45,71,88,2.82,IN,2021-12-13 00:08:47
495,Babu,24.4167,111.5167,47.91,80,6,4.0,CN,2021-12-13 00:08:47
496,Nang Rong,14.6377,102.7914,70.77,70,20,13.42,TH,2021-12-13 00:08:47
497,Bridgetown,13.1,-59.6167,79.66,80,100,17.9,BB,2021-12-13 00:07:46
498,Sosva,59.1766,61.8558,15.51,80,37,7.87,RU,2021-12-13 00:08:48
499,Mackay,-21.15,149.2,85.68,63,20,16.78,AU,2021-12-13 00:08:48
500,Hun,29.1268,15.9477,49.14,56,1,5.37,LY,2021-12-13 00:08:48
501,Grand Gaube,-20.0064,57.6608,74.37,75,87,1.99,MU,2021-12-13 00:08:49
502,Luganville,-15.5333,167.1667,81.61,86,100,13.89,VU,2021-12-13 00:08:49
503,Rypefjord,70.6333,23.6667,34.27,100,90,10.36,NO,2021-12-13 00:08:49
504,Ust-Kalmanka,52.1207,83.305,3.11,96,77,5.68,RU,2021-12-13 00:08:49
505,George Town,5.4112,100.3354,79.9,81,20,3.44,MY,2021-12-13 00:08:50
506,Flinders,-34.5833,150.8552,73.06,67,11,6.4,AU,2021-12-13 00:08:50
507,Altay,47.8667,88.1167,11.59,67,88,4.79,CN,2021-12-13 00:08:50
508,Sechura,-5.5569,-80.8222,71.31,72,19,13.27,PE,2021-12-13 00:08:51
509,Butembo,0.15,29.2833,59.72,79,100,2.17,CD,2021-12-13 00:08:51
510,Zhaotong,27.3167,103.7167,37.31,91,98,2.44,CN,2021-12-13 00:08:52
511,Tocopilla,-22.092,-70.1979,65.64,76,16,4.76,CL,2021-12-13 00:08:52
512,Thinadhoo,0.5333,72.9333,80.73,76,94,9.24,MV,2021-12-13 00:08:52
513,Gambo,4.6482,22.2633,75.65,48,98,1.92,CF,2021-12-13 00:08:53
514,Nchelenge,-9.3451,28.734,73.38,79,81,1.92,ZM,2021-12-13 00:08:53
515,Irgakly,44.3611,44.7556,38.64,77,97,14.16,RU,2021-12-13 00:08:53
516,Saint Anthony,45.0205,-93.218,33.73,70,1,3.0,US,2021-12-13 00:08:54
517,Necochea,-38.5473,-58.7368,62.04,67,75,7.54,AR,2021-12-13 00:08:54
518,Vardo,70.3705,31.1107,27.55,85,84,27.27,NO,2021-12-13 00:08:54
519,Dryden,49.7833,-92.7503,30.7,93,75,6.85,CA,2021-12-13 00:08:55
520,Saint George,37.1041,-113.5841,54.07,40,1,1.99,US,2021-12-13 00:08:28
521,Sembakung,3.8167,117.25,80.53,93,99,1.45,ID,2021-12-13 00:08:55
522,Kavieng,-2.5744,150.7967,84.94,72,100,8.75,PG,2021-12-13 00:08:55
523,Marsh Harbour,26.5412,-77.0636,76.51,77,5,12.03,BS,2021-12-13 00:05:29
524,San Andres,12.5847,-81.7006,82.42,78,75,14.97,CO,2021-12-13 00:08:56
525,Hovd,48.0056,91.6419,7.25,59,83,4.52,MN,2021-12-13 00:08:56
526,Mandili,15.1595,120.9171,81.12,74,100,5.28,PH,2021-12-13 00:08:56
527,Hofn,64.2539,-15.2082,38.52,92,100,0.34,IS,2021-12-13 00:07:54
528,Thessalon,46.2501,-83.5666,41.29,77,9,19.91,CA,2021-12-13 00:08:57
529,Sayyan,15.1718,44.3244,40.12,63,0,3.89,YE,2021-12-13 00:08:57
530,Trairi,-3.2778,-39.2689,80.8,77,67,11.7,BR,2021-12-13 00:05:30
531,Bela Vista,-22.1089,-56.5211,73.76,84,100,7.31,BR,2021-12-13 00:08:57
532,Bonthe,7.5264,-12.505,78.84,86,10,5.61,SL,2021-12-13 00:08:58
533,Oranjestad,12.524,-70.027,80.91,84,99,4.0,AW,2021-12-13 00:04:23
534,Husavik,66.0449,-17.3389,32.49,79,95,13.8,IS,2021-12-13 00:08:58
535,Marienburg,54.0359,19.0266,31.12,96,85,5.5,PL,2021-12-13 00:08:59
536,Killybegs,54.6333,-8.45,46.78,68,100,24.56,IE,2021-12-13 00:08:59
537,Bathsheba,13.2167,-59.5167,78.96,82,99,17.22,BB,2021-12-13 00:08:32
538,Palencia,42.4167,-4.5,43.92,82,55,1.32,ES,2021-12-13 00:08:59
539,Coihueco,-36.6167,-71.8333,61.54,51,4,12.66,CL,2021-12-13 00:06:56
540,Phan Thiet,10.9333,108.1,73.56,81,93,4.9,VN,2021-12-13 00:04:54
541,Kalmunai,7.4167,81.8167,77.02,89,100,6.93,LK,2021-12-13 00:09:00
542,Tuy Hoa,13.0833,109.3,72.54,90,93,16.44,VN,2021-12-13 00:08:55
543,Kirakira,-10.4544,161.9205,83.55,83,97,13.94,SB,2021-12-13 00:09:00
544,Progreso,21.2833,-89.6667,80.11,79,26,14.43,MX,2021-12-13 00:09:01
545,Viedma,-40.8135,-62.9967,66.16,38,68,24.54,AR,2021-12-13 00:09:01
546,Nakhon Thai,17.1006,100.8374,63.0,81,13,4.43,TH,2021-12-13 00:09:01
547,Tumut,-35.3,148.2167,72.93,49,0,4.7,AU,2021-12-13 00:08:20
548,Fowa,8.9167,6.4,78.48,25,87,3.0,NG,2021-12-13 00:09:02
549,Muroto,33.2833,134.15,53.17,57,10,8.97,JP,2021-12-13 00:09:02
550,Preobrazheniye,42.9019,133.9064,17.15,50,8,14.18,RU,2021-12-13 00:09:02
