City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Richards Bay,ZA,76.8,overcast clouds,-28.783,32.0377,Richards Bay
515,Perth,AU,84.15,clear sky,-31.9333,115.8333,Perth
516,Chadiza,ZM,75.69,clear sky,-14.0678,32.4392,Chadiza
518,Pyapon,MM,86.5,few clouds,16.2833,95.6833,Pyapon
522,Takoradi,GH,78.75,scattered clouds,4.8845,-1.7554,Takoradi
526,Sambava,MG,79.03,few clouds,-14.2667,50.1667,Sambava
528,Irituia,BR,74.46,overcast clouds,-1.7711,-47.4381,Irituia
534,Sibolga,ID,81.37,overcast clouds,1.7427,98.7792,Sibolga
535,Pundaguitan,PH,82.67,overcast clouds,6.3711,126.1689,Mati
536,Contamana,PE,76.37,scattered clouds,-7.3333,-75.0167,C.p Contamana Etapa 1
537,Oussouye,SN,73.42,scattered clouds,12.485,-16.5469,Oussouye
539,Avanigadda,IN,80.74,overcast clouds,16.0215,80.9181,Mopidevi
540,Caravelas,BR,74.64,overcast clouds,-17.7125,-39.2481,Caravelas
547,Bundaberg,AU,85.21,scattered clouds,-24.85,152.35,Bundaberg
552,Bengkulu,ID,84.49,scattered clouds,-3.8004,102.2655,Bengkulu
556,Kendari,ID,89.83,overcast clouds,-3.945,122.4989,Kendari
559,Pontianak,ID,82.38,light rain,-0.0333,109.3333,Pontianak
560,Morondava,MG,83.41,clear sky,-20.2833,44.2833,Morondava
561,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Wilson Hill
562,Bima,ID,86.68,broken clouds,-8.4667,118.7167,Bima
568,Kainantu,PG,74.75,overcast clouds,-6.2887,145.8655,Kainantu
569,Maumere,ID,84.6,light rain,-8.6199,122.2111,Maumere
573,Sungaipenuh,ID,75.87,broken clouds,-2.0833,101.3833,Sungai Penuh
577,Puri,IN,74.37,broken clouds,19.8,85.85,Puri
578,Majene,ID,84.9,overcast clouds,-3.5403,118.9707,Majene
580,Tura,IN,73.02,clear sky,25.5198,90.2201,Tura
581,Kodinar,IN,79.63,clear sky,20.7903,70.7031,Kodinar
582,Thinadhoo,MV,81.48,broken clouds,0.5333,72.9333,
586,Poya,NC,76.19,light rain,-21.35,165.15,Poya
590,Pyay,MM,81.91,clear sky,18.8167,95.2167,Pyay
593,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Guarapari
597,Kiama,AU,80.01,clear sky,-34.6833,150.8667,Kiama
598,Lobito,AO,76.44,light rain,-12.3481,13.5456,Lobito
599,Beberibe,BR,84.16,overcast clouds,-4.1797,-38.1306,Beberibe
602,Kudahuvadhoo,MV,80.89,overcast clouds,2.6708,72.8944,Kudahuvadhoo
605,Curuca,BR,76.28,overcast clouds,-0.7289,-47.8481,Curuçá
607,Thoen,TH,83.55,clear sky,17.6129,99.2161,Lom Raet
610,Acapulco,MX,77.59,clear sky,16.8634,-99.8901,Acapulco
613,Dwarka,IN,76.77,clear sky,22.2394,68.9678,Dwarka
614,Dzilam Gonzalez,MX,72.55,clear sky,21.2833,-88.9333,Dzilam González
618,Lagunas,PE,73.99,scattered clouds,-5.2269,-75.6753,Pueb Lagunas
624,Ouargaye,BF,74.73,broken clouds,11.5033,0.0572,Ouargaye
627,Kimbe,PG,82.83,moderate rain,-5.5502,150.1429,Kimbe
628,Nortelandia,BR,72.34,moderate rain,-14.4547,-56.8028,Nortelândia
629,Paka,MY,82.33,scattered clouds,4.6374,103.4368,Kerteh
631,Bosaso,SO,77.4,clear sky,11.2842,49.1816,Bosaso
636,Corumba,BR,72.82,overcast clouds,-19.0092,-57.6533,Corumbá
637,Aduturai,IN,82.63,broken clouds,11.0147,79.4791,Aduthurai
644,Piacabucu,BR,77.29,scattered clouds,-10.4056,-36.4344,Piaçabuçu
645,Xuddur,SO,75.76,overcast clouds,4.1213,43.8894,Xuddur
